Title,Price,Description,Location
"
        3bdrm House in East Legon for Rent
    ","
        GH₵ 6,000
    ","
                            Executive 3 bedroom for rent in a gated community at east legon 
Good road access 
Nice neighborhood...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm House in Oyibi Malejor, Adenta for Rent
    ","
        GH₵ 550
    ","
                            Chamber and hall self contain for rent at Oyibi Malejor very close to the roadside, self meter,...
                        ","
            Greater Accra, Adenta
        "
"
        Furnished 4bdrm Townhouse/Terrace in Shiashie, East Legon for Rent
    ","
        GH₵ 15,200
    ","
                            4 Bedroom Fully Furnished House for Rent at Shiashie 
Available for short stays (6 months to 1...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Tamale, for Rent
    ","
        GH₵ 200
    ","
                            1 bedroom apartment at kukuo by the ghanasco wall, closed to tth,water, closed to the roadside
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Penny Station, Teshie for Rent
    ","
        GH₵ 1,000
    ","
                            2bedroom comes self meter 2air condition wall drop gated n more going for 2years
                        ","
            Greater Accra, Teshie
        "
"
        Furnished 3bdrm Apartment in East Legon, American House for Rent
    ","
        GH₵ 5,800
    ","
                            Standard bedrooms apartment for rent at east legon daily $70.00 monthly $1000 
studious daily $90.00...
                        ","
            Greater Accra, East Legon
        "
"
        EXECUTIVE 3 BEDROOMS HOUSE FOR RENT AT TEMA COMMUNITY 18
    ","
        GH₵ 2,800
    ","
                            Its an executive, fabulous, ultra modern and intoxicated 3 bedrooms with 1 bedroom boysquarter self...
                        ","
            Greater Accra, Agbogbloshie
        "
"
        4bdrm House in East Legon for Rent
    ","
        GH₵ 14,433
    ","
                            Amazing 4-bedroom house with high quality furnishings and equipments, ideal for a office and...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Kpalsi Starplus, Tamale Municipal for Rent
    ","
        GH₵ 800
    ","
                            Just by the road side, water flows 247, serene environment, close to the last stop, fenced wall,...
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm House in East Legon American for Rent
    ","
        GH₵ 3,190
    ","
                            2 bedrooms apartment for rent at east legon american house 
price : $550
 specifications:
- all...
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm Apartment in Hamza Estates, East Legon for Rent
    ","
        GH₵ 4,500
    ","
                            An Executive threebedrooms with four washrooms for rent at East legon ARS side 
All rooms are...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Accra Metropolitan for Rent
    ","
        GH₵ 1,800
    ","
                            2 Bedroom Apartment For Rent 
Price : GHC1800
Features: 
All rooms en-suite 
Kitchen 
Self Meter...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 3bdrm Apartment in East Legon for Rent
    ","
        GH₵ 23,760
    ","
                            An amazing 3 bedroom fully furnished executive apartment with high quality furnishings and...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 2bdrm Apartment for Rent
    ","
        GH₵ 1,000
    ","
                            Executive newly built 2bedroom apartment.
located at kasoa kakaraba roads.
going for 1000gh accept...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Furnished 3bdrm Apartment for Rent
    ","
        GH₵ 900
    ","
                            Newly built 3 bedroom apartment
Located at Bortiano inside
going for 900gh accept 1year rent.
wall...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Furnished 3bdrm Apartment in Cantonments for Rent
    ","
        GH₵ 18,160
    ","
                            6 units of 3 bedrooms apartment for rent at cantonments. 
Furnished:$2,200
Unfinished:$1,600
Service...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm Apartment in Fervent Link, Accra Metropolitan for Rent
    ","
        GH₵ 2,500
    ","
                            3 bedrooms apartment for rent at Lashibi-Klagon.
Separate ecg meter available
Separate water...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        3bdrm House in Old Ashomang for Rent
    ","
        GH₵ 3,000
    ","
                            Newly Built 3 Bedroom House for Rent at old Ashogman
specifications
✓ proximity to road
✓ Water...
                        ","
            Greater Accra, Old Ashomang
        "
"
        2bdrm Apartment in Teshie for Rent
    ","
        GH₵ 1,000
    ","
                            2bedroom apartment to let at Teshie sea lady close to first junction
                        ","
            Greater Accra, Teshie
        "
"
        3bdrm House in Unique Real Estate, Ga West Municipal for Rent
    ","
        GH₵ 2,300
    ","
                            3 bedrooms apartment 4rent @ Pokuase closer to johntei, walled with gated hpuse self metre,...
                        ","
            Greater Accra, Ga West Municipal
        "
"
        2bdrm Block of Flats in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 700
    ","
                            2 bedroom apartment with washroom, kitchen, nice rooms
                        ","
            Northern Region, Tamale Municipal
        "
"
        Executive Newly Built 4 Bedroom House to Let at Legon Hills
    ","
        GH₵ 3,000
    ","
                            *new built 4 master bedroom house at east legon hills 
1. newly built 4 bedroom house at east legon...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Ab Majesty Property, Airport Residential Area
    ","
        GH₵ 2,700
    ","
                            Two bedroom self contain apartment at Tse Addo for rent
All rooms en-suite with secure environment...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        Furnished 1bdrm Apartment in Divine Mercy Agency, Awutu Senya West
    ","
        GH₵ 500
    ","
                            Executive chamber and hall self contained.
Located at kasoa New market road.
going for 500gh accept...
                        ","
            Central Region, Awutu Senya West
        "
"
        1bdrm Apartment in Tamale, Gurugu. Nkpa for Rent
    ","
        GH₵ 350
    ","
                            1 bedroom apartment for rent at Gurugu
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm Apartment in New Bortinor, West Hills Mall Area for Rent
    ","
        GH₵ 2,200
    ","
                            Fairly used 4 bedroom house with self compound and water. Around West hills area.
                        ","
            Greater Accra, Weija
        "
"
        6 Bedroom Mansion for Rent at Airport Residential for Rent
    ","
        GH₵ 29,000
    ","
                            6 bedroom mansion for rent at airport residential area
it has a spacious compound and a garden and...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        2bdrm Apartment in Oyarifa for Rent
    ","
        GH₵ 1,100
    ","
                            *Beautiful Walled and Gated 2bedroom Apartment*
*2bedrooms-with 2 bath (en suit with bath...
                        ","
            Greater Accra, Oyarifa
        "
"
        Furnished 3bdrm House in Tamale, for Rent
    ","
        GH₵ 5,000
    ","
                            Executive fully furnished 3 bedroom house for rent,it comes with 
3 bedrooms
1 hall
4 washrooms
5...
                        ","
            Northern Region, Tamale Municipal
        "
"
        5bdrm House in Aj Properties, Ghana Link Area for Rent
    ","
        GH₵ 15,600
    ","
                            5-bedroom house with 1bq to-let at East
Legon around Mensvic Grand Hotel, asking price is $2000.
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm House in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 1,400
    ","
                            Beautiful newly built 2 bedroom self compound for rent at Vittin. Pipe water flows, closed to the...
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 1bdrm Apartment in Green, East Legon for Rent
    ","
        GH₵ 5,000
    ","
                            Call us or WhatsApp us for more details
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 2bdrm Apartment in Homesweethome, Oyarifa for Rent
    ","
        GH₵ 7,200
    ","
                            Short stay fully furnished twobedrooms apartment for rent at Oyarifa (250) cedis per day nice...
                        ","
            Greater Accra, Oyarifa
        "
"
        4bdrm House in Adjiriganor for Rent
    ","
        GH₵ 14,400
    ","
                            A nice 4 Bedroom house located in Adjirigarnor. It comes with all modern fittings and it has been...
                        ","
            Greater Accra, Adjiriganor
        "
"
        4bdrm House in Lesmon Estate, Manet Court for Rent
    ","
        GH₵ 14,400
    ","
                            A 4 bedroom luxury house self compound with a boys quarters and the state of art fitted facilities...
                        ","
            Greater Accra, Spintex
        "
"
        1bdrm Apartment in Weija for Rent
    ","
        GH₵ 500
    ","
                            Chamber and hall S/C apartment@ New bortianor (last stop). Glass Windows, floors-tiled, kitchen with...
                        ","
            Greater Accra, Weija
        "
"
        1bdrm Apartment in Oyibi, Adenta for rent
    ","
        GH₵ 600
    ","
                            Executive Chanmber and hall self contain for rent in oyibi. Close to the roadside. 600gh advance for...
                        ","
            Greater Accra, Adenta
        "
"
        Furnished 2bdrm Apartment in Divine Mercy Agency, Awutu Senya West
    ","
        GH₵ 700
    ","
                            Executive 2bedroom apartment 
Located at kasoa kakaraba nyanyanor road.
going for 700gh accept 1year...
                        ","
            Central Region, Awutu Senya West
        "
"
        1bdrm Apartment in Tamale,Bisco Nkpa for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment with washroom,porch,fre
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Accra Metropolitan for Rent
    ","
        GH₵ 2,400
    ","
                            Executive standard ultramodern two bedrooms apartment located in a residential serene...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        1 Bedroom Apartment for Rent in Tamale, TTH
    ","
        GH₵ 350
    ","
                            1 bedroom apartment closer to tth with washroom, kitchen
                        ","
            Northern Region, Tamale Municipal
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 400
    ","
                            Newly built 1 bedroom apartment for rent at Sagnarigu
                        ","
            Northern Region, Tamale Municipal
        "
"
        1bdrm Apartment in Tamale, Gurugu Nkpa for Rent
    ","
        GH₵ 200
    ","
                            1 bedroom apartment with washroom, kitchen,water flows frequently,close to roadside
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Weija for Rent
    ","
        GH₵ 695
    ","
                            Spacious 2-bedroom S/C apartment for professional family living, floors-fully tiled, bathroom fully...
                        ","
            Greater Accra, Weija
        "
"
        3bdrm Townhouse/Terrace in Cantonments for Rent
    ","
        GH₵ 18,000
    ","
                            A stupendous 3 bedroom townhouse with an outhouse is up for rent in cantonments
swimming...
                        ","
            Greater Accra, Cantonments
        "
"
        2bdrm Apartment in Redtop New Weija, Ga South Municipal for Rent
    ","
        GH₵ 1,000
    ","
                            Pay and move into this beautiful new 2 bedroom apartment at Redtop new weija going for 1 or more...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        4bdrm Townhouse/Terrace in US Embassy Area for Rent
    ","
        GH₵ 31,000
    ","
                            Unfurnished 4 bedroom townhouse for rent
Features:
•	En suite Bedrooms
•	Wardrobes
•	Garage
•	Fitted...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm Apartment in East Legon for Rent
    ","
        GH₵ 7,600
    ","
                            3-bedroom house plus boys quarter going for rent at East Legon- Adjiriganor. Price 1000 dollars per...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 1bdrm Apartment in East Legon for Rent
    ","
        GH₵ 5,000
    ","
                            A newly built studio apartment for rent at East Legon near AnC mall.
All home appliances and...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 3bdrm House in a C Mall Area for Rent
    ","
        GH₵ 20,250
    ","
                            Ref number... may-2222a
fully furnished 3 bedroom semi-detached luxury townhouse with boy’s quarter...
                        ","
            Greater Accra, East Legon
        "
"
        7bdrm House in Fear Not, Accra Metropolitan for Rent
    ","
        GH₵ 7,500
    ","
                            Executive newly built house 7- bedrooms selfcompound for rent at ACP franko estate 8- washrooms near...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 1bdrm Apartment in Cantonments for Rent
    ","
        GH₵ 5,684
    ","
                            One bedroom furnished apartment for rent at Cantonments. It is located in a serene atmosphere and...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm Apartment in Oyarifa for Rent
    ","
        GH₵ 1,800
    ","
                            3 bedrooms self contained for rent at oyarifa, very close to road. call for inspection and pls note...
                        ","
            Greater Accra, Oyarifa
        "
"
        3bdrm House in Youngest Agent, Ashomang Estate for Rent
    ","
        GH₵ 1,500
    ","
                            Three bedroom self compound located at Ashongman estate going for 1500 a month for year advance or...
                        ","
            Greater Accra, Ashomang Estate
        "
"
        3bdrm Apartment in Propwrtice Affairs, Ga South Municipal for Rent
    ","
        GH₵ 1,500
    ","
                            Nicely 3bedrooms self contans for rent at old baria going for cool price 1500 a month for one year...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        1bdrm Apartment in Weija for Rent
    ","
        GH₵ 300
    ","
                            Chamber and hall with porch at Scc. This is not self contain, you share the toilet and bath with d...
                        ","
            Greater Accra, Weija
        "
"
        2bdrm Apartment in East Legon for Rent
    ","
        GH₵ 2,000
    ","
                            Newly built two bedroom apartment around Lakeside. Spacious rooms and compound, Wardrobe, two...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 2bdrm Apartment in Nkpa Properties, Tamale Municipal
    ","
        GH₵ 2,500
    ","
                            Fully furnished 2 bedroom apartment to LET at Jisonayili
                        ","
            Northern Region, Tamale Municipal
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment for rent at Vittin Target. Property is very closed to the roadside, closed to...
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 3bdrm Apartment in East Legon for Rent
    ","
        GH₵ 10,947
    ","
                            An amazing 3 bedroom apartment with high quality furnishings and equipments, plus 24 hour security...
                        ","
            Greater Accra, East Legon
        "
"
        Executive Furnished 4bdrm Townhouse for Rent at East Legon
    ","
        GH₵ 20,300
    ","
                            *a decent & fairly timeless 4 bedroom furnished townhouse @ east legon for $3000 a month plus $500 a...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Tamale-Vittin. Nkpa for Rent
    ","
        GH₵ 600
    ","
                            Nice 2 bedroom apartment for rent at vittin
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm House in Elly Real Estate, Adenta for Rent
    ","
        GH₵ 3,500
    ","
                            Executive Newly Built 4 bedroom house for rent at School Junction Oyarifa.
GH₵3500.00
Features:
~...
                        ","
            Greater Accra, Adenta
        "
"
        3bdrm House in Oyarifa for Rent
    ","
        GH₵ 3,000
    ","
                            Newly built executive 3 bedrooms house for rent at Oyarifa.
Comes with the following features
✓ A...
                        ","
            Greater Accra, Oyarifa
        "
"
        4bdrm Duplex in Ga East Municipal for Rent
    ","
        GH₵ 2,200
    ","
                            A newly built 4 bedroom detached house for rent at teiman abokobi.
each room has toilet and bath...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        Furnished 5bdrm Apartment in Divine Mercy Agency, Awutu Senya West
    ","
        GH₵ 2,500
    ","
                            Massive 5 bedroom self compound.
Located at kasoa kakaraba nyanyanor road.
going for 2500gh accept...
                        ","
            Central Region, Awutu Senya West
        "
"
        4 Bedroom House In East Legon, Boundary Road Area For Rent
    ","
        GH₵ 14,500
    ","
                            4 bedroom house with boys quarters for rent at east legon
price:$2,500negotiable 
specifications:
-...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 1bdrm Apartment for Rent
    ","
        GH₵ 600
    ","
                            Executive Newly built chamber and hall self contained.
Located at Kasoa Tuba road
going for 600gh...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Fully Furnished 4 Bedrooms Apartment For Rental At East Legon
    ","
        GH₵ 19,200
    ","
                            Fully furnished 4 bedrooms house for rentals at East legon for short stay. All rooms are en suite....
                        ","
            Greater Accra, Agbogbloshie
        "
"
        2bdrm Apartment in Living Large, East Legon for Rent
    ","
        GH₵ 1,800
    ","
                            2 BEDROOM LUXURIOUS APARTMENT FOR RENT AT EAST LEGON HILLS 
2 bedrooms is available for rent At East...
                        ","
            Greater Accra, East Legon
        "
"
        7bdrm House in Community 12, Tema Metropolitan for Rent
    ","
        GH₵ 13,500
    ","
                            Newly renovated 7 bedroom house located within a serene environment at Tema community 12 is up for...
                        ","
            Greater Accra, Tema Metropolitan
        "
"
        4bdrm House in Executivehousesghana, Accra Metropolitan for Rent
    ","
        GH₵ 16,000
    ","
                            Comes with full security 
All rooms ensuite 
Fitted kitchen 
Pool
Kids play ground
Secured...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm House in Teshie for Rent
    ","
        GH₵ 1,000
    ","
                            Newly built 2bedroom house to let at teshie cluster
                        ","
            Greater Accra, Teshie
        "
"
        1bdrm Apartment in Chamber and Hall, Ga West Municipal for Rent
    ","
        GH₵ 400
    ","
                            Chamber and hall Nice place to be
                        ","
            Greater Accra, Ga West Municipal
        "
"
        4bdrm Townhouse in Airport Residential Area for Rent
    ","
        GH₵ 19,000
    ","
                            A four bedroom townhouse with a boys quarters and a garage for rent in airport residential...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 300
    ","
                            1 bedroom apartment at Fuo area for rent.
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Beverly Hills, Accra Metropolitan for Rent
    ","
        GH₵ 1,300
    ","
                            Executive two bedroom apartment for rent at pokuase ayawaso close to the main road has all the...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        3bdrm Apartment in Accra Metropolitan for Rent
    ","
        GH₵ 4,500
    ","
                            Executive three bedroom apartment for rent at east airport close to chain homes. it is just by the...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Bestchoice Property, Accra Metropolitan for Rent
    ","
        GH₵ 1,000
    ","
                            2bedroom 1washroom for rent at Achimota mile 7 T.junction ghc1000 per month for two years advance...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 6bdrm House in East Legon for Rent
    ","
        GH₵ 44,000
    ","
                            Executive 6 Bedroom House with boys quarters for Rent at East Legon Hills. 
* Fully furnished 
* 2...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in New Legon for Rent
    ","
        GH₵ 1,050
    ","
                            Two year used by first tenant, newly renovated. two- storey and four apartments building. three...
                        ","
            Greater Accra, Adenta
        "
"
        3bdrm Apartment in East Legon for Rent
    ","
        GH₵ 4,500
    ","
                            3-bedroom apartment at east legon around ars , it comes with 3 washroom and dining hall, the asking...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Helena Estate Agency, Ga East Municipal for Rent
    ","
        GH₵ 1,400
    ","
                            Decent two bedroom self contain apartment in kwabenya ACP estate area for rent there is availability...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        1bdrm Apartment in Divine Mercy Agency, Awutu Senya West for Rent
    ","
        GH₵ 400
    ","
                            Cool chamber and hall self contained
Located at kasoa Obum road.
going for 400gh accept Year
wall...
                        ","
            Central Region, Awutu Senya West
        "
"
        2bdrm Apartment in Tamale, Vittin for Rent
    ","
        GH₵ 450
    ","
                            2 bedroom apartment with self compound,water, kitchen, polytank,at a serene environment,3 washrooms
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 3bdrm Apartment in DVLA Area for Rent
    ","
        GH₵ 19,000
    ","
                            Furnished 3 bedroom apartment for rent
Features:
•	One Bedroom En Suite
•	Fitted...
                        ","
            Greater Accra, Cantonments
        "
"
        4bdrm House in Beverly Hills, Accra Metropolitan for Rent
    ","
        GH₵ 15,000
    ","
                            Executive four bedroom house for rent at East airport close to the main road has all the facilities...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Legacy Solid Real, Teshie for Rent
    ","
        GH₵ 1,200
    ","
                            Homemaker 2bdrm Apt with 1 washroom up for Rent.In a very calm serene environment. Proximity is...
                        ","
            Greater Accra, Teshie
        "
"
        2bdrm Apartment in School Junction, East Legon for Rent
    ","
        GH₵ 3,000
    ","
                            Newly built 2 bedrooms
School junction
Big bedrooms
1 master bedroom
1 bedroom shares washroom
Guest...
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm Townhouse/Terrace in Adjiringanor, Adjiriganor for Rent
    ","
        GH₵ 5,100
    ","
                            Three bedrooms town house all ensuit located in adringanor for rent at a price of 600$ per month
                        ","
            Greater Accra, Adjiriganor
        "
"
        Furnished 2bdrm Apartment in Musuku Estate, Ga East Municipal for Rent
    ","
        GH₵ 1,800
    ","
                            Newly built 2 bedrooms apartment going for cool price at Kwabenya Musuku roundabout
                        ","
            Greater Accra, Ga East Municipal
        "
"
        Furnished 1bdrm Apartment in East Legon Accra Metropolitan for Rent
    ","
        GH₵ 8,500
    ","
                            This One-bedroom apartment is situated inside a gated community in East Legon Adjiringanor. It comes...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Townhouse/Terrace in East Legon Hills for Rent
    ","
        GH₵ 4,800
    ","
                            Two bedroom house with fitted kitchen . All rooms are spacious . It’s easily accessible.
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Tamale,Zogbeli Nkpa for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment at zogbeli for rent. it comes with a washroom, kitchen,water, polytank, closed...
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm Townhouse/Terrace in Cantonments for Rent
    ","
        GH₵ 35,000
    ","
                            A stupendous 4 bedroom townhouse with a study room, dining section, a well equipped kitchen for rent...
                        ","
            Greater Accra, Cantonments
        "
"
        4bdrm Duplex in Dr Roko, East Legon for Rent
    ","
        GH₵ 4,000
    ","
                            4 bedroom house to let at East legon Hills
GHS 4000/Month
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 5bdrm Townhouse in Cantonments for Rent
    ","
        GH₵ 42,000
    ","
                            Executive 5 bedroom furnished townhouse with 2 family areas, garden, gen set, securiy service, pool,...
                        ","
            Greater Accra, Cantonments
        "
"
        EXECUTIVE AND NEWLY BUILT 3 BEDROOMS WITH 1 STUDY FOR RENT
    ","
        GH₵ 3,000
    ","
                            EXECUTIVE  3 BEDROOMS  1 STUDY 
#Location: EAST LEGO HILLS024*********
#Features
~Large Spaced...
                        ","
            Greater Accra, Agbogbloshie
        "
"
        1bdrm Apartment in East Legon, American House for Rent
    ","
        GH₵ 1,500
    ","
                            A nice and newly built chamber and hall self contain,with Pop ceiling, Ghana water,nice location for...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Duplex in Fastinas Real Estate, Ga South Municipal for Rent
    ","
        GH₵ 1,000
    ","
                            Executive two bedroom apartment duplex for one year rent at tuba junction
* Note Nigerians are not...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        2bdrm Apartment in East Legon for Rent
    ","
        GH₵ 3,600
    ","
                            East legon hills east legon hills east legon hills 
 
renting and selling 
 
newly built 2bedrooms...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm House in Doyen Properties, Tamale Municipal for Rent
    ","
        GH₵ 300
    ","
                            Spacious two bedroom apartment at a cool rate.
                        ","
            Northern Region, Tamale Municipal
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment for rent at Gurugu. Regular water flow, neet compound, at a serene environment.
                        ","
            Northern Region, Tamale Municipal
        "
"
        5bdrm Apartment in Albert Real Estate, Gomoa East for Rent
    ","
        GH₵ 1,800
    ","
                            Executive five bedroom self contained apartment for rent,it located at kasoa New town,it is alround...
                        ","
            Central Region, Gomoa East
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 800
    ","
                            2Bedroom apartment
Located at Around westhill Mall area.
going for 800gh accept 1year rent.
wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        6bdrm House in Scc Azuma New Weija, Ga South Municipal for Rent
    ","
        GH₵ 2,500
    ","
                            Pay and move into this lovely 6 bedroom house at scc azuma new weija going for 1 or more years.Call...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        2bdrm Condo in Propertice Affairs, Ga South Municipal for Rent
    ","
        GH₵ 1,500
    ","
                            2bedrooms 3toilets 2apartment in the compound for rent at aplaku road before bo jo bech cool price...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        2bdrm House in Bernapat, Adenta for Rent
    ","
        GH₵ 700
    ","
                            2 bedroom house for rent at oyibi bernapat
                        ","
            Greater Accra, Adenta
        "
"
        3bdrm House in Leosville Estate Ps, Tema Metropolitan for Rent
    ","
        GH₵ 1,950
    ","
                            3 bedroom ensuited House for rent in PS Global Leosvile gated Community at Tema Community 25, Decent...
                        ","
            Greater Accra, Tema Metropolitan
        "
"
        3bdrm House in Manet Estate, American House for Rent
    ","
        GH₵ 3,000
    ","
                            It's a newly renovated three bedrooms self compound house at manet estate ogbojo near american...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Albert Real Estate, Gomoa East for Rent
    ","
        GH₵ 650
    ","
                            Chamber and Hall sc for rent at kasoa galilia,it pop ceilling, water available,self meter, floor...
                        ","
            Central Region, Gomoa East
        "
"
        2bdrm Apartment in Accra Metropolitan for Rent
    ","
        GH₵ 2,500
    ","
                            2bedroom 3washrooms for rent ¢2500 per month at School Salem estate
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        3bdrm House in East Legon for Rent
    ","
        GH₵ 6,500
    ","
                            Thisis a beautiful 3 bedroom house in a gated community at east legon adjiringannor, goinf for $800...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Tamale, Lamashegu for Rent
    ","
        GH₵ 300
    ","
                            Standard 1 bedroom apartment with nice kitchen, washroom,porch,water
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 5bdrm House in Adjiringanor, Accra Metropolitan for Rent
    ","
        GH₵ 38,250
    ","
                            5-bedroom fully furnished house for Rent at Adjiringanor Trasacco $4,500, all rooms en-suite, big...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Tamale-Vittin for Rent
    ","
        GH₵ 700
    ","
                            Standard 2 bedroom apartment for rent at Target
                        ","
            Northern Region, Tamale Municipal
        "
"
        Executive 6bdrm Mansion Wt 3BQ 4rent at Airport Residential
    ","
        GH₵ 46,400
    ","
                            *a contemporary executive 5 or 6 bedroom house @ airport residential area for rent for $8000 a month...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        Furnished 2bdrm Apartment in Cantonments for Rent
    ","
        GH₵ 17,690
    ","
                            Newly built 2 bedroom apartments available for short and long stays at Cantonments near Eastoment...
                        ","
            Greater Accra, Cantonments
        "
"
        Furnished 3bdrm Apartment in Trasacco, Accra Metropolitan for Rent
    ","
        GH₵ 7,200
    ","
                            3 bedroom furnished hse & a bq renting
#location: trasacco
#suitability:residential
#status: 100%...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Ability/Adjiringanor, Accra Metropolitan for Rent
    ","
        GH₵ 2,200
    ","
                             for rent 
• 2 bedroom apartment located at ability’.
nb: - water flows 
 - tiled
 - 2 washrooms 
 -...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        3bdrm House in Tamale,In Nkpa for Rent
    ","
        GH₵ 1,200
    ","
                            Vip 3 bedroom house with 3 washrooms,big and nice kitchen,3 polytanks, pump machine,water, closer to...
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 4bdrm Bungalow in Trasacco, Ability for Rent
    ","
        GH₵ 29,600
    ","
                            An executive fully furnished four-bedroom house with pool and summer hat to let at Trasacco Valley,...
                        ","
            Greater Accra, Adjiriganor
        "
"
        2bdrm Apartment in New Bortianor, Ga South Municipal for Rent
    ","
        GH₵ 1,400
    ","
                            Pay and move into this executive new 2 bedroom apartment at new bortianor junction area going for 1...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        Furnished 3bdrm Apartment in East Legon for Rent
    ","
        GH₵ 17,000
    ","
                            Furnished 3 bedroom apt east legon 
3bedroom 
Living room
Kitchen 
Internet 
Price $2500 a month...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Boi New Town for Rent
    ","
        GH₵ 700
    ","
                            Two bedroom apartment for rent at affordable prices Around Boi new town going for 700cedis per month
                        ","
            Greater Accra, Abokobi
        "
